Symbol	Description
FUE	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
FVD	First Trust Value Line  Dividend Index Fund
FVI	First Trust Value Line Equity Allocation Index(sm)Fund
FVL	First Trust Value Line  100 Exchange-Traded Fund
FWV	First West Virginia Bancorp Inc.
FXA	CRRNCYSHR AUS DLR TR
FXB	CRRNCYSHR BP STER TR
FXC	CRRNCYSHRS CAN DL TR
FXD	First Trust Exchange-Traded Fund
FXE	Currencyshares Euro Trust
FXF	CRRNCYSHR SW FR TR
FXG	First Trust Exchange-Traded Fund
FXH	First Trust Exchange-Traded Fund
FXI	Ishares Trust Ftse-xinhua China 25 Index Fund
FXL	First Trust Exchange-Traded Fund
FXM	CRRNCYSHR MEX PSO TR
FXN	First Trust Exchange-Traded Fund
FXO	First Trust Exchange-Traded Fund
FXP	ProShares Trust
FXR	First Trust Exchange-Traded Fund
FXS	CRRNCYSHR SW KRN TR
FXU	First Trust Exchange-Traded Fund
FXY	CRNCYSHRS JPN YEN TR
FXZ	First Trust Exchange-Traded Fund
FYX	First Trust Exchange-Traded Fund
FZB	Fcb/nc Capital Trust Ii
GAF	SPDR Index Fund
GAZ	IPATH NAT GAS ETN
GBB	IPATH GBP/USD EXCHANGE RATE ET
GBC	Morgan Stanley
GBF	ISHARES LEHMAN GOVER
GBG	Great Basin Gold Ltd.
GBI	Morgan Stanley
GBR	New Concept Energy Inc
GCC	GreenHaven Continuous Commodity Index Fund
GCE	CLAYMORE CEF CONNECT
GDX	Market Vectors ETF Trust
GDXJ	Vectors Junior Gold Miners Etf
GEX	Globix Corp
GGN	The Gabelli Global Goldn Natural Resources & Income Trust
GGN-A	The Gabelli Global Goldn Natural Resources & Income Trust
GGR	GeoGlobal Resources Inc.
GHM	Graham Corporation
GII	streetTRACKS Index Funds
GIT	MORGAN STANLEY
GIW	Wilber Corporation
GLA	Clark Holdings Inc
GLA.U	Clark Holdings Inc
GLA.W	Clark Holdings Inc
GLD	Streettracks Gold Trust
GLDX	Global X Gold Explorers ETF
GLJ	ISHARES 10  YEAR GOV
GLL	Morgan Stanley
GLO	Clough Global Opportunities Fund
GLQ	Clough Global Equity Fund
GLTR	ETFS Physical Precious Metal Ba
GLU	Gabelli Global Utility
GLV	Clough Global Allocation Fund
GMF	SPDR Index Fund
GML	SPDR Index Fund
GMM	SPDR Index Fund
GMMB	GRAIL MCDONNELL
GMO	General Moly Inc
GMTB	GRAIL MCDONNELL
GNR	SPDR S&P Global Natural Resourc
GOK	Geokinetics Inc.
GORO	Gold Resource Corporation
GPL	Great Panther Silver Limited
GPR	GeoPetro Resources Co
GRC	Gorman-Rupp Company (The)
GRES	IQ Arb Global Resources Etf
GRF	Eagle Capital Growth Fund Inc.
GRH	GreenHunter Energy Inc
GRI	ALPS ETF Trust
GRN	Claymore Exchange-traded Fund Trust
GRU	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
GRV	MARS HILL GLOBAL RELATIVE VALUE
GRZ	Gold Reserve Inc
GSB	GlobalSCAPE Inc.
GSC	GS CONNECT S& P GSCI ENH ANCED
GSG	ISHARES GSCI CMDTY
GSP	IPATH GSCI TRI ETN
GSS	Golden Star Resources Ltd
GST	Gastar Exploration
GSX	GASCO ENERGY INC
GTAA	Cambria Global Tactical
GTE	Gran Tierra Energy Inc.
GTU	Central Gold Trust
GUR	SPDR Index Fund
GV	Goldfield Corporation (The)
GVI	Vi Group, Plc
GVP	GSE Systems Inc.
GVT	GRAIL AMERICAN BEACON
GWL	SPDR Index Fund
GWO	CREDIT SUISSE ELEMEN
GWX	SPDR Index Fund
GXC	streetTracks Index Funds
GXF	GLOBAL X FTSE NORDIC
GXG	GL
HAO	Claymore Exchange-Traded Fund Trust 2
HAP	MKT VECTORS RVE ETF
HBP	Helix Biopherma Cp
HDGE	AdvisorShares Active Bear ETF
HDY	HyperDynamics Corporation
HEB	Hemispherx BioPharma Inc.
HEDJ	WISDOMTREE INTL HEDG
HFB	Merrill Lynch & Co. Inc.
HGI	Claymore Exchange-Traded Fund Trust 2
HH	Hooper Holmes Inc.
HHH	Merrill Lynch Internet HOLDRS
HKN	HKN Inc.
HLM.P	Hillman Group Capital Trust
HMG	HMG/Courtland Properties Inc.
HNB	Herald National Bank
HNW	Pioneer Diversified High Income Trust
HQS	HQ Sustainable Maritime Industries Inc.
HRT	Arrhythmia Research Technology Inc.
HTM	U.S. Geothermal Inc.
HUSA	Houston American Energy Corporation
HWG	Hallwood Group Incorporated
HYD	MARKET VECTORS
HYG	iShares Trust
HYLD	Peritus High Yield ETF
IAF	Aberdeen Australia Equity Fund Inc
IAH	Merrill Lynch Internet Architecture HOLDRS
IAI	ISHARES DJ US BDIF
IAK	ISHARES DJ US IN IDX
IAT	ISHARES DJ US RBIF
IAU	iShares COMEX Gold Trust
IBIO	iBio Inc.
IBND	SPDR Barclays Capital Internati
ICF	Ishares Cohen & Steers Realty Majors Index Fund
ICH	Investors Capital Holdings Ltd.
ICI	IPATH OPTIMIZED CURRENCY CARRY E
ICN	WISDOMTREE DREYFUS
IDI	SearchMedia Holdings Limited
IDI.U	SearchMedia Holdings Limited
IDI.W	SearchMedia Holdings Limited
IDN	Intellicheck Mobilisia Inc.
IDU	Ishares Dow Jones U.s. Utilities Index Fund
IDV	ISHARES DJ EPAC ETF
IDX	MARKET VECTORS INDONESIA INDEX
IEC	IEC Electronics Corp.
IEF	Ishares Lehman 7-10 Year Treasury Bond Fund
IEI	ISHARES LEHMAN 3-7 Y
IEO	ISHARES DJ US OG EP
IEV	Ishares S&p Europe 350 Index Fund
IEZ	ISHARES DJ US OE& SI
IF	Aberdeen Indonesia Fund Inc.
IFMI	Institutional Financial Markets Inc.
IFO	InfoSonics Corp
IG	IGI Laboratories Inc.
IGC	India Globalization Capital Inc.
IGC.U	India Globalization Capital Inc.
IGC.W	India Globalization Capital Inc.
IGE	Ishares Goldman Sachs Natural Resources Index Fund
IGF	ISHARES S& P GLOBAL I
IGM	Ishares Goldman Sachs Technology Index Fund
IGN	Ishares Goldman Sachs Network Index Fund
IGV	Ishares Goldman Sachs Software Index Fund
IHE	ISHARES DJ US PHRM
IHF	ISHARES DJ US HCPIF
IHI	ISHARES DJ US MDIF
IHT	InnSuites Hospitality Trust
IIG	iMergent Inc
IIH	Merrill Lynch Internet Infrastructure HOLDRS
IJH	Ishares S&p Midcap 400 Index Fund
IJJ	Ishares S&p Midcap 400/barra Value Index Fund
IJK	Ishares S&p Midcap 400/barra Growth Index Fund
IJR	Ishares S&p Smallcap 600 Index Fund
IJS	Ishares Small Cap 600/barra Value Index Fund
IJT	Ishares Small Cap 600/barra Growth Index Fund
ILF	Ishares S&p Latin America 40 Index Fund
